Customer_ID,Recency,Frequency,MonetaryValue,Country
12521,143,1,545.68,Germany
12522,39,2,156.72,Germany
12525,498,3,791.0,France
12526,1,3,1162.46,Germany
12527,82,5,512.79,Germany
12528,9,6,1325.36,Germany
12529,528,1,316.48,France
12530,60,9,2749.85,Germany
12531,15,2,1663.26,Germany
12532,30,1,313.83000000000004,France
12534,131,1,869.97,Germany
12535,92,2,600.75,France
12536,59,1,4078.54,France
12537,409,1,528.29,Sweden
12538,29,2,553.75,Spain
12541,30,3,841.18,Spain
12542,484,2,402.42,Spain
12543,448,1,824.65,Spain
12544,36,1,286.7,Spain
12545,75,2,742.39,Spain
12546,47,2,1021.5,Spain
12547,198,3,299.58,Spain
12548,166,1,67.19999999999999,Spain
12549,576,5,1446.78,USA
12550,79,1,705.34,Spain
12551,358,1,129.0,Spain
12552,40,1,279.57,Italy
12553,8,11,3409.53,France
12554,449,1,325.3,Spain
12556,50,2,545.07,Spain
12557,16,5,3745.18,Spain
12558,8,1,228.76,USA
12559,311,2,525.71,Germany
12560,5,2,1787.31,Germany
12561,303,1,224.0,Germany
12562,8,9,4264.72,France
12563,409,1,108.74000000000001,Italy
12564,261,1,367.35,France
12565,289,1,145.92000000000002,Saudi_Arabia
12566,86,1,276.65,Germany
12571,40,2,511.81,France
12572,9,2,880.08,Germany
12573,227,5,478.14,France
12574,316,1,182.45000000000002,France
12575,457,2,523.82,France
12576,36,8,1939.16,Poland
12577,35,8,1558.44,France
12578,21,4,3731.4500000000003,Italy
12579,78,1,365.42,France
12580,247,2,833.9,Germany
12581,40,1,169.21,Germany
12582,239,4,1632.0,Finland
12584,4,9,2125.45,Italy
12585,234,2,1813.6,Germany
12586,17,4,1734.57,Italy
12587,8,1,104.0,Finland
12588,39,3,650.1999999999999,Finland
12589,29,6,3016.66,France
12590,211,1,7975.06,Germany
12591,317,3,1118.25,Italy
12592,92,4,1710.44,Germany
12593,109,3,342.6,France
12594,38,14,4710.77,Italy
12595,505,1,251.17000000000002,Germany
12596,51,2,404.17,Spain
12597,19,4,3066.31,Spain
12598,10,10,3932.79,France
12599,29,13,2007.22,France
12600,29,19,2241.07,Germany
12601,190,6,537.86,Germany
12602,59,1,153.12,France
12603,22,1,613.1999999999999,Germany
12604,79,2,204.98,France
12605,376,3,1039.15,Germany
12607,60,1,1508.81,USA
12608,405,1,350.89000000000004,United_Kingdom
12609,78,9,2801.9900000000002,Germany
12610,23,4,1656.19,Italy
12611,52,1,1133.1,Italy
12612,74,1,68.03999999999999,Germany
12613,57,9,5801.5,Germany
12614,278,1,249.6,Germany
12615,2,8,5084.68,France
12616,95,3,1023.1,France
12617,29,1,355.53000000000003,France
12618,22,1,137.31,Italy
12619,16,9,2851.5499999999997,Germany
12620,15,3,1169.15,France
12622,232,1,147.1,Germany
12623,276,7,2884.8,Germany
12624,106,2,511.03000000000003,France
12625,212,4,4383.9800000000005,Germany
12626,23,9,5736.06,Germany
12627,11,6,3837.77,Germany
12628,4,3,699.76,Germany
12629,386,2,1198.22,Sweden
12630,10,2,940.1800000000001,Finland
12631,57,6,2799.32,Finland
12632,521,2,714.88,Germany
12633,59,7,4956.38,Germany
12634,548,1,360.0,USA
12635,90,4,2412.55,Germany
12637,67,12,7955.3,France
12638,33,2,638.65,Sweden
12639,239,3,858.02,Sweden
12640,24,3,994.58,France
12641,115,1,145.9,Sweden
12642,25,3,875.26,Germany
12643,128,10,5857.92,France
12644,130,4,1582.64,Germany
12645,34,8,3152.96,Germany
12646,5,2,1214.17,USA
12648,155,4,772.7,Germany
12649,107,8,1972.27,Germany
12650,3,1,242.44,France
12651,335,4,334.85,France
12652,331,2,876.0300000000001,France
12653,149,3,3917.83,Israel
12654,11,5,529.98,Germany
12655,424,1,243.35000000000002,France
12656,17,8,5486.91,France
12657,11,4,1427.18,France
12658,19,1,460.75,Germany
12659,30,1,73.67999999999999,France
12660,11,1,211.8,France
12661,436,1,162.0,Sweden
12662,1,20,6072.820000000001,Germany
12664,87,2,85.5,Finland
12665,325,3,259.6,Germany
12666,394,1,1218.72,Israel
12667,58,1,432.23,Finland
12669,151,2,1366.53,France
12670,10,7,3257.79,France
12671,606,1,2567.88,Germany
12672,330,2,387.55,France
12673,5,3,1026.42,Germany
12674,39,4,1778.2,France
12675,554,2,748.7,Italy
12676,25,10,2068.04,Sweden
12677,555,2,339.6,France
12679,59,4,868.02,France
12680,1,4,790.81,France
12684,8,6,2073.63,France
12685,28,6,2407.37,France
12686,372,1,142.28,France
12687,481,1,1712.84,Sweden
12688,114,1,4501.39,Israel
12689,26,2,1098.41,France
12690,206,1,335.01,France
12691,28,6,1044.4,France
12693,127,7,1232.65,Germany
12694,70,3,1632.75,France
12695,7,7,1285.77,France
12696,435,2,631.86,Finland
12697,29,3,757.59,Sweden
12698,590,1,285.75,Germany
12699,418,1,495.73,Germany
12700,8,4,4315.83,France
12701,80,6,2119.71,Germany
12702,20,1,183.3,Germany
12703,71,4,828.58,Germany
12704,7,8,1487.09,Finland
12707,292,1,603.42,France
12708,33,17,4423.05,Germany
12710,97,3,973.72,Germany
12711,612,2,1153.38,Germany
12713,1,1,694.9499999999999,Germany
12715,106,1,253.06,Sweden
12716,4,2,933.19,France
12717,151,3,995.01,Greece
12718,71,1,169.4,France
12719,5,2,511.35,France
12721,32,8,3183.89,France
12722,85,4,860.35,France
12723,4,5,697.59,France
12724,5,7,1946.52,France
12725,371,3,1687.79,Italy
12726,28,11,3690.6,France
12727,11,10,3929.65,France
12728,71,5,843.4300000000001,France
12729,114,1,417.01,France
12730,522,1,548.0,Germany
12732,180,1,218.26000000000002,France
12733,234,4,2080.47,USA
12734,353,3,354.35,France
12735,315,2,676.97,France
12736,333,1,144.0,France
12738,372,1,274.7,Germany
12739,99,2,2004.43,United_Arab_Emirates
12740,64,1,427.6,France
12741,533,1,221.07,USA
12745,487,2,662.67,United_Kingdom
12746,541,1,238.65,United_Kingdom
12749,4,9,6723.51,United_Kingdom
12750,129,1,224.7,Poland
12751,445,1,206.58,Brazil
12752,81,1,3107.78,Norway
12754,236,3,3010.74,Japan
12756,87,1,112.08,Japan
12757,16,9,4003.95,Portugal
12759,52,8,3990.82,Netherlands
12760,456,1,290.26,Netherlands
12761,465,1,559.95,Netherlands
12762,8,2,1702.52,Portugal
12763,138,2,793.76,Japan
12764,317,1,1663.58,Lebanon
12765,472,6,1121.62,Netherlands
12767,376,1,793.82,Korea
12768,451,1,115.59,Korea
12769,239,1,1069.65,Brazil
12770,211,2,3081.45,Japan
12771,486,1,206.4,Portugal
12772,60,1,673.97,Portugal
12773,564,1,115.46000000000001,Portugal
12774,536,1,66.0,Netherlands
12775,17,7,1278.92,Netherlands
12777,458,1,472.95,United_Kingdom
12778,20,9,1395.81,Netherlands
12779,38,14,5964.03,Poland
12780,599,1,322.4,Netherlands
12781,64,2,664.58,Czech_Republic
12782,5,11,3465.44,Portugal
12783,2,4,1194.59,Portugal
12784,15,2,1453.1,Portugal
12785,364,3,867.2,Portugal
12786,610,1,622.0000000000001,Netherlands
12787,10,4,769.58,Netherlands
12788,463,4,384.90000000000003,Netherlands
12789,65,3,208.4,Netherlands
12790,192,2,546.85,Netherlands
12791,374,5,834.4300000000001,Netherlands
12792,257,2,715.01,Portugal
12793,335,3,810.33,Portugal
12794,53,2,706.2,Portugal
12795,19,1,303.48,Portugal
12797,366,2,497.76,Portugal
12799,529,1,131.15,Japan
12800,470,2,467.55,Portugal
12801,501,1,761.32,Sweden
12802,187,5,1780.76,Netherlands
12803,393,1,913.74,Netherlands
12804,466,2,266.42,Netherlands
12805,382,4,958.5,Netherlands
12806,572,2,2388.56,Netherlands
12807,383,1,250.35,Sweden
12808,37,5,830.6,Portugal
12809,178,3,1301.14,Portugal
12810,535,2,352.35,Japan
12811,262,4,844.4,Portugal
12812,45,1,229.64000000000001,Japan
12813,502,3,1307.6,Netherlands
12814,102,1,85.92,Poland
12815,148,2,639.36,Poland
12816,96,2,394.40000000000003,Poland
12817,281,3,570.98,Austria
12818,262,1,1182.0800000000002,Austria
12819,458,1,505.12,United_Kingdom
12820,3,11,2357.01,United_Kingdom
12821,214,2,182.7,United_Kingdom
12822,71,2,948.88,United_Kingdom
12823,75,18,6501.5,United_Kingdom
12824,60,1,386.92,United_Kingdom
12825,521,2,433.88,United_Kingdom
12826,3,12,2414.2000000000003,United_Kingdom
12827,6,3,375.05,United_Kingdom
12828,3,6,914.16,United_Kingdom
12829,337,3,385.3,United_Kingdom
12830,38,6,6814.64,United_Kingdom
12831,262,3,364.71000000000004,United_Kingdom
12832,32,2,300.83,United_Kingdom
12833,145,1,390.95,United_Kingdom
12834,283,1,312.38,United_Kingdom
12836,59,15,5888.7300000000005,United_Kingdom
12837,173,2,577.61,United_Kingdom
12838,34,10,3161.64,United_Kingdom
12840,144,7,3838.27,United_Kingdom
12842,70,4,1769.64,United_Kingdom
12844,29,4,592.48,United_Kingdom
12845,267,3,139.34,United_Kingdom
12847,22,2,1517.25,United_Kingdom
12849,31,6,2780.06,United_Kingdom
12850,446,1,330.0,United_Kingdom
12851,97,2,229.41,United_Kingdom
12852,295,1,311.55,United_Kingdom
12853,135,11,3846.5,United_Kingdom
12854,79,7,2514.61,United_Kingdom
12855,373,4,630.14,United_Kingdom
12856,8,6,2085.43,United_Kingdom
12857,211,6,3561.7,United_Kingdom
12858,383,1,161.77,United_Kingdom
12859,459,1,351.6,United_Kingdom
12861,620,1,55.5,United_Kingdom
12862,426,2,884.28,United_Kingdom
12863,52,6,2595.9,United_Kingdom
12864,138,2,289.07,United_Kingdom
12865,26,4,3159.27,Austria
12866,283,3,1061.15,Belgium
12867,26,13,7414.34,United_Kingdom
12868,186,8,2120.12,United_Kingdom
12870,375,3,1538.31,United_Kingdom
12871,84,3,336.02,United_Kingdom
12872,327,12,2920.82,United_Kingdom
12873,282,3,1945.6999999999998,United_Kingdom
12874,385,2,873.42,Belgium
12875,143,5,1356.9900000000002,United_Kingdom
12876,58,4,3299.35,Belgium
12877,4,20,2333.6,United_Kingdom
12878,236,2,786.79,United_Kingdom
12879,45,3,573.22,United_Kingdom
12880,382,2,593.78,United_Kingdom
12881,276,1,298.0,United_Kingdom
12882,9,2,1392.24,United_Kingdom
12883,25,4,686.47,United_Kingdom
12884,88,1,288.25,United_Kingdom
12885,63,3,1175.22,United_Kingdom
12886,68,2,1360.7,United_Kingdom
12887,384,1,222.4,United_Kingdom
12888,214,2,247.62,United_Kingdom
12889,381,4,351.26,United_Kingdom
12890,24,2,657.3199999999999,United_Kingdom
12891,186,11,840.5,United_Kingdom
12892,397,1,245.68,United_Kingdom
12893,31,1,179.85,United_Kingdom
12894,575,1,137.1,United_Kingdom
12895,42,2,338.8,United_Kingdom
12897,205,4,482.45000000000005,United_Kingdom
12898,464,2,289.86,United_Kingdom
12899,414,1,366.4,United_Kingdom
12900,422,1,340.33000000000004,United_Kingdom
12902,265,1,138.68,United_Kingdom
12903,429,1,754.9300000000001,United_Kingdom
12904,18,2,485.15,United_Kingdom
12905,577,2,822.42,United_Kingdom
12906,12,5,2919.81,United_Kingdom
12907,396,2,453.46000000000004,United_Kingdom
12908,176,5,1776.0,United_Kingdom
12909,40,8,2744.77,United_Kingdom
12910,23,13,5658.42,United_Kingdom
12911,552,1,1545.42,United_Kingdom
12912,3,5,1662.3,United_Kingdom
12913,5,13,6487.13,United_Kingdom
12914,401,1,202.98,United_Kingdom
12915,149,4,934.0,United_Kingdom
12916,139,7,3754.67,United_Kingdom
12917,400,5,1491.6,United_Kingdom
12919,8,6,1320.19,United_Kingdom
12920,17,4,456.49,United_Kingdom
12922,161,1,352.88,United_Kingdom
12923,64,3,713.17,United_Kingdom
12924,88,12,2454.65,United_Kingdom
12925,5,3,708.53,United_Kingdom
12926,411,4,1350.54,United_Kingdom
12927,395,1,197.31,United_Kingdom
12928,35,12,3625.69,United_Kingdom
12929,312,1,117.85,United_Kingdom
12930,78,2,364.32000000000005,United_Kingdom
12932,539,8,1364.1100000000001,United_Kingdom
12933,24,8,1555.55,United_Kingdom
12935,2,15,4049.36,United_Kingdom
12936,17,4,1061.8,United_Kingdom
12937,15,9,2317.58,United_Kingdom
12938,26,1,96.44,United_Kingdom
12940,55,2,859.74,United_Kingdom
12942,131,3,932.98,United_Kingdom
12943,558,2,496.5,United_Kingdom
12944,36,2,604.51,United_Kingdom
12945,288,2,738.46,United_Kingdom
12946,437,1,324.45,United_Kingdom
12947,144,6,1795.83,United_Kingdom
12948,16,9,2221.73,United_Kingdom
12950,2,3,1560.8,United_Kingdom
12951,9,15,2980.27,United_Kingdom
12952,6,4,1327.69,United_Kingdom
12953,10,2,727.41,United_Kingdom
12955,1,11,4697.16,United_Kingdom
12956,306,4,473.09000000000003,United_Kingdom
12957,10,13,7896.42,United_Kingdom
12958,400,2,514.84,United_Kingdom
12959,484,1,150.95,United_Kingdom
12960,414,4,1240.17,United_Kingdom
12961,379,1,202.24,United_Kingdom
12962,7,2,251.39000000000001,United_Kingdom
12963,8,12,3278.15,United_Kingdom
12964,437,1,99.14,United_Kingdom
12965,89,1,744.63,United_Kingdom
12966,10,1,141.58,United_Kingdom
12967,372,2,3743.82,United_Kingdom
12968,112,1,101.15,United_Kingdom
12969,603,1,122.45,United_Kingdom
12970,7,10,1409.9,United_Kingdom
12972,414,4,1033.26,United_Kingdom
12973,414,1,385.55,United_Kingdom
12974,198,2,268.35,United_Kingdom
12975,437,6,1854.09,United_Kingdom
12976,212,8,2930.84,United_Kingdom
12977,156,4,447.59,United_Kingdom
12978,385,5,1708.76,United_Kingdom
12980,177,11,2114.64,United_Kingdom
12981,30,2,372.21999999999997,United_Kingdom
12982,243,8,2487.69,United_Kingdom
12983,598,1,490.08,United_Kingdom
12984,19,1,97.5,United_Kingdom
12985,1,2,1160.6,United_Kingdom
12986,429,10,2076.89,United_Kingdom
12987,74,5,1175.3600000000001,United_Kingdom
12988,292,1,307.47,United_Kingdom
12990,31,7,299.0,United_Kingdom
12991,23,3,700.41,United_Kingdom
12993,23,8,1080.13,United_Kingdom
12994,4,3,878.74,United_Kingdom
12995,85,1,211.32,United_Kingdom
12996,376,1,340.5,United_Kingdom
12997,22,7,1756.03,United_Kingdom
12998,493,3,780.85,United_Kingdom
12999,196,3,455.88,United_Kingdom
13000,107,4,894.8,United_Kingdom
13002,318,3,399.13,United_Kingdom
13003,106,3,131.2,United_Kingdom
13005,174,4,981.8299999999999,United_Kingdom
13006,56,1,81.57,United_Kingdom
13007,580,1,147.35,United_Kingdom
13008,323,3,561.43,United_Kingdom
13010,374,2,330.12,United_Kingdom
13011,372,1,30.0,United_Kingdom
13012,9,11,2924.38,United_Kingdom
13014,11,11,4984.63,United_Kingdom
13015,53,11,6392.89,United_Kingdom
13016,73,3,759.89,United_Kingdom
13017,7,1,204.0,United_Kingdom
13019,379,6,1175.8,United_Kingdom
13020,563,2,545.46,United_Kingdom
13021,4,17,4403.96,United_Kingdom
13022,430,1,50.3,Belgium
13023,64,3,1251.03,United_Kingdom
13024,471,2,523.92,United_Kingdom
13026,1,9,1393.24,United_Kingdom
13028,23,2,439.42,United_Kingdom
13029,31,5,1910.8,United_Kingdom
13030,11,2,1134.1200000000001,United_Kingdom
13031,407,5,2988.82,United_Kingdom
13032,52,9,2739.25,United_Kingdom
13033,357,2,181.55,United_Kingdom
13034,55,3,906.78,United_Kingdom
13035,74,3,1364.2,United_Kingdom
13037,138,12,3342.9,United_Kingdom
13038,80,3,908.46,United_Kingdom
13039,584,4,955.4300000000001,United_Kingdom
13040,9,2,661.99,United_Kingdom
13041,451,4,448.73,United_Kingdom
13042,598,3,1319.5,United_Kingdom
13043,273,1,516.42,United_Kingdom
13044,291,11,3825.76,United_Kingdom
13045,99,3,663.82,United_Kingdom
13046,31,3,869.25,United_Kingdom
13048,14,9,3648.27,United_Kingdom
13049,64,4,1408.24,United_Kingdom
13051,579,2,155.8,United_Kingdom
13052,212,7,2775.48,United_Kingdom
13053,622,1,109.15,United_Kingdom
13055,78,4,2198.35,United_Kingdom
13056,551,1,144.23,United_Kingdom
13057,530,3,558.95,United_Kingdom
13058,25,3,173.29999999999998,United_Kingdom
13059,250,10,1912.22,United_Kingdom
13060,254,1,234.0,United_Kingdom
13061,72,1,248.61,United_Kingdom
13062,191,1,346.98,United_Kingdom
13063,481,1,188.4,United_Kingdom
13064,13,6,1163.98,United_Kingdom
13065,373,5,1093.16,United_Kingdom
13066,24,2,443.81,United_Kingdom
13067,82,3,468.77,United_Kingdom
13070,192,4,438.1,United_Kingdom
13071,612,1,127.97,United_Kingdom
13072,267,1,177.15,United_Kingdom
13073,411,2,418.08,United_Kingdom
13074,511,4,624.64,United_Kingdom
13075,130,1,919.61,United_Kingdom
13076,458,1,135.4,United_Kingdom
13077,1,11,2233.4500000000003,United_Kingdom
13079,4,6,386.48,United_Kingdom
13080,179,4,202.12,United_Kingdom
13083,4,3,395.43,United_Kingdom
13085,158,8,2040.28,United_Kingdom
13086,383,1,351.18,United_Kingdom
13088,417,1,234.16000000000003,United_Kingdom
13091,28,2,904.9,United_Kingdom
13092,71,12,1940.1200000000001,United_Kingdom
13094,21,13,2256.12,United_Kingdom
13095,71,1,74.39999999999999,United_Kingdom
13096,394,1,419.7000000000001,United_Kingdom
13099,99,1,207.36,United_Kingdom
13101,234,4,608.8,United_Kingdom
13103,40,3,662.84,United_Kingdom
13104,3,9,1709.1,United_Kingdom
13105,436,1,72.0,United_Kingdom
13106,133,2,603.46,United_Kingdom
13107,44,9,4977.79,United_Kingdom
13108,373,2,1098.52,United_Kingdom
13109,60,3,1052.6200000000001,United_Kingdom
13110,31,12,2517.59,United_Kingdom
13112,541,1,20.599999999999998,United_Kingdom
13115,12,10,5103.35,United_Kingdom
13116,138,1,483.44,United_Kingdom
13117,22,18,2268.93,United_Kingdom
13118,20,9,2012.95,United_Kingdom
13120,239,1,30.6,United_Kingdom
13121,269,1,270.38,United_Kingdom
13122,94,2,821.01,United_Kingdom
13123,473,2,416.99,United_Kingdom
13124,90,4,4492.03,United_Kingdom
13125,524,1,131.69,United_Kingdom
13126,5,13,3061.33,United_Kingdom
13127,78,1,226.47,United_Kingdom
13129,452,2,176.55,United_Kingdom
13130,94,1,64.0,United_Kingdom
13131,23,7,3164.27,United_Kingdom
13132,262,1,77.3,United_Kingdom
13133,274,3,180.65,United_Kingdom
13134,86,6,2176.23,United_Kingdom
13135,197,2,3333.95,United_Kingdom
13136,56,13,5297.56,United_Kingdom
13137,11,16,7015.68,United_Kingdom
13138,22,7,1449.39,United_Kingdom
13139,16,8,7598.78,United_Kingdom
13140,108,5,1110.98,United_Kingdom
13141,85,17,6307.62,United_Kingdom
13142,19,1,250.39000000000001,United_Kingdom
13143,585,1,354.55,United_Kingdom
13144,333,2,116.05000000000001,United_Kingdom
13145,40,7,1423.52,United_Kingdom
13146,26,1,154.31,United_Kingdom
13147,10,4,712.8,United_Kingdom
13149,14,4,1572.5,United_Kingdom
13150,484,3,449.96999999999997,United_Kingdom
13151,296,3,2351.19,United_Kingdom
13152,417,7,1885.26,United_Kingdom
13153,6,1,196.62,United_Kingdom
13154,399,3,1338.09,United_Kingdom
13155,33,6,1579.78,United_Kingdom
13156,385,3,1440.6,United_Kingdom
13157,49,9,5608.76,United_Kingdom
13158,95,5,1431.32,United_Kingdom
13159,9,4,1304.31,United_Kingdom
13160,22,1,91.8,United_Kingdom
13161,313,2,322.68,United_Kingdom
13162,122,15,6841.14,United_Kingdom
13163,610,1,17.65,United_Kingdom
13164,569,2,372.2,United_Kingdom
13165,46,3,792.88,United_Kingdom
13166,283,2,884.18,United_Kingdom
13167,19,5,982.1,United_Kingdom
13168,36,5,1296.3700000000001,United_Kingdom
13169,64,3,840.08,United_Kingdom
13170,27,1,94.92,United_Kingdom
13171,22,3,463.41,United_Kingdom
13172,400,1,69.6,United_Kingdom
13173,4,11,1999.96,United_Kingdom
13174,16,11,8177.2300000000005,United_Kingdom
13175,582,2,706.1,United_Kingdom
13176,46,1,387.64,United_Kingdom
13177,65,2,512.2,United_Kingdom
13179,619,1,557.46,United_Kingdom
13180,607,1,60.9,United_Kingdom
13181,381,1,344.69,United_Kingdom
13182,45,1,110.68,United_Kingdom
13183,8,15,6873.780000000001,United_Kingdom
13184,15,10,1394.85,United_Kingdom
13185,268,1,71.4,United_Kingdom
13186,40,3,1534.89,United_Kingdom
13187,337,3,295.09,United_Kingdom
13188,11,1,114.6,United_Kingdom
13189,19,2,210.16,United_Kingdom
13190,544,3,521.86,United_Kingdom
13192,95,6,2422.08,United_Kingdom
13193,61,1,114.98,United_Kingdom
13194,136,2,472.78,United_Kingdom
13195,414,1,168.48000000000002,United_Kingdom
13196,11,7,2949.9900000000002,United_Kingdom
13197,610,1,259.66,United_Kingdom
13198,10,8,4216.65,United_Kingdom
13200,19,4,823.89,United_Kingdom
13201,502,4,911.9200000000001,United_Kingdom
13202,394,7,1437.66,United_Kingdom
13203,10,10,2308.37,United_Kingdom
13205,443,1,2803.2,United_Kingdom
13206,400,13,6770.17,United_Kingdom
13207,15,3,108.36000000000001,United_Kingdom
13208,59,8,1562.52,United_Kingdom
13209,30,13,8165.6900000000005,United_Kingdom
13210,94,1,338.48,United_Kingdom
13211,10,10,2556.36,United_Kingdom
13212,20,3,723.63,United_Kingdom
13213,57,11,3523.32,United_Kingdom
13214,418,7,2739.44,United_Kingdom
13216,268,1,333.74,United_Kingdom
13217,122,4,666.48,United_Kingdom
13218,127,1,27.84,United_Kingdom
13219,618,1,58.38,United_Kingdom
13220,78,5,1276.99,United_Kingdom
13221,240,2,654.0,United_Kingdom
13222,577,1,88.5,United_Kingdom
13223,200,3,162.72,United_Kingdom
13224,60,2,2001.88,United_Kingdom
13226,273,2,217.21,United_Kingdom
13227,202,1,238.2,United_Kingdom
13229,226,1,160.95,United_Kingdom
13232,13,7,1247.8,United_Kingdom
13233,74,4,857.5699999999999,United_Kingdom
13235,212,1,972.6700000000001,United_Kingdom
13236,25,2,725.89,United_Kingdom
13237,388,1,484.1,United_Kingdom
13238,17,6,748.9300000000001,United_Kingdom
13239,262,5,1318.87,United_Kingdom
13240,96,8,1534.69,United_Kingdom
13241,412,1,102.09,United_Kingdom
13242,112,7,520.0,United_Kingdom
13243,203,5,1066.8,United_Kingdom
13244,93,1,121.74000000000001,United_Kingdom
13245,51,2,974.22,United_Kingdom
13246,18,11,3007.95,United_Kingdom
13247,18,4,464.82,United_Kingdom
13248,125,2,389.66,United_Kingdom
13249,92,9,1608.9299999999998,United_Kingdom
13250,461,2,242.15,United_Kingdom
13251,402,1,217.48,United_Kingdom
13252,394,2,384.3,United_Kingdom
13253,157,4,2394.68,United_Kingdom
13254,376,1,44.45,United_Kingdom
13255,9,3,869.06,United_Kingdom
13256,14,1,0.0,United_Kingdom
13257,436,1,149.75,United_Kingdom
13258,12,5,760.88,United_Kingdom
13259,62,9,1217.83,United_Kingdom
13260,61,1,557.62,United_Kingdom
13261,269,2,944.1,United_Kingdom
13262,263,3,501.95,United_Kingdom
